id,name,overview,genres,number_of_seasons,number_of_episodes,first_air_date,last_air_date,networks,vote_count,vote_average,languages,popularity,backdrop_path,watchlisted_rating
20,Elite,"When three working class kids enroll in the most exclusive school in Spain, the clash between the wealthy and the poor students leads to tragedy.","['Crime', 'Mystery', 'Drama']",7,49,2018-10-05,2022-11-18,['Netflix'],8817,8.071,['es'],100.711,/tl0mg7lOnS6tP8ngH0QwgMLQdpV.jpg,3.856668298713233
21,The Boys,A group of vigilantes known informally as “The Boys” set out to take down corrupt superheroes with no more than blue-collar grit and a willingness to fight dirty.,"['Sci-Fi', 'Action']",4,32,2019-07-25,2022-07-07,['Prime Video'],8721,8.474,['en'],256.856,/thLAoL6VeZGmCyDpCOeoxLvA8yS.jpg,4.0051505555640645
22,Rick and Morty,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.","['Animation', 'Comedy', 'Sci-Fi', 'Action']",7,71,2013-12-02,2022-12-11,['Adult Swim'],8595,8.7,['en'],429.047,/9In9QgVJx7PlFOAgVHCKKSbo605.jpg,
23,The Vampire Diaries,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.","['Drama', 'Sci-Fi']",8,171,2009-09-10,2017-03-10,['The CW'],8356,8.337,['en'],633.313,/k7T9xRyzP41wBVNyNeLmh8Ch7gD.jpg,3.775481379759937
24,The Falcon and the Winter Soldier,"Following the events of “Avengers: Endgame”, the Falcon, Sam Wilson and the Winter Soldier, Bucky Barnes team up in a global adventure that tests their abilities, and their patience.","['Action', 'Drama']",1,6,2021-03-19,2021-04-23,['Disney+'],8008,7.693,['en'],35.521,/aTjbqMONy77fHJrIYu14g1F0d5h.jpg,3.33874996765877
25,Naruto Shippūden,"After 2 and a half years Naruto finally returns to his village of Konoha, and sets about putting his ambitions to work. It will not be easy though as he has amassed a few more dangerous enemies, in the likes of the shinobi organization; Akatsuki.","['Animation', 'Action', 'Sci-Fi']",20,500,2007-02-15,2017-03-23,['TV Tokyo'],7712,8.6,['ja'],128.823,/z0YhJvomqedHF85bplUJEotkN5l.jpg,3.594426207080099
26,The 100,"100 years in the future, when the Earth has been abandoned due to radioactivity, the last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable.","['Sci-Fi', 'Drama', 'Action']",7,100,2014-03-19,2020-09-30,['The CW'],7666,7.916,['en'],127.224,/hTExot1sfn7dHZjGrk0Aiwpntxt.jpg,3.288809364420238
27,Wednesday,"Wednesday Addams is sent to Nevermore Academy, a bizarre boarding school where she attempts to master her psychic powers, stop a monstrous killing spree of the town citizens, and solve the supernatural mystery that affected her family 25 years ago — all while navigating her new relationships.","['Sci-Fi', 'Mystery', 'Comedy']",2,8,2022-11-23,2022-11-23,['Netflix'],7506,8.548,['en'],-5.0,/iHSwvRVsRyxpX7FE7GbviaDvgGZ.jpg,3.4772600698882727
28,Friends,"Six young people from New York City, on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.",['Comedy'],10,228,1994-09-22,2004-05-06,['NBC'],7192,8.444,['en'],214.333,/l0qVZIpXtIo7km9u5Yqh0nKPOr5.jpg,3.291258572376887
29,Supernatural,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ","['Drama', 'Mystery', 'Sci-Fi']",15,327,2005-09-13,2020-11-19,"['The WB', 'The CW']",6909,8.304,['en'],439.934,/nVRyd8hlg0ZLxBn9RaI7mUMQLnz.jpg,3.1093286825696747
30,Sex Education,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,"['Comedy', 'Drama']",4,32,2019-01-11,2023-09-21,['Netflix'],6647,8.304,['en'],1008.977,/5SEEBS5qXgL5rgivTiAROy1Qt2q.jpg,2.9914181144942287
31,Vikings,"The adventures of Ragnar Lothbrok, the greatest hero of his age. The series tells the sagas of Ragnar's band of Viking brothers and his family, as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods. Legend has it that he was a direct descendant of Odin, the god of war and warriors.","['Action', 'Drama', 'War & Politics']",6,89,2013-03-03,2020-12-30,"['Prime Video', 'History']",6385,8.086,['en'],294.196,/lHe8iwM4Cdm6RSEiara4PN8ZcBd.jpg,2.798071052546036
32,Dark,A missing child causes four families to help each other for answers. What they could not imagine is that this mystery would be connected to innumerable other secrets of the small town.,"['Drama', 'Sci-Fi', 'Mystery']",3,26,2017-12-01,2020-06-27,['Netflix'],6049,8.432,['de'],86.861,/75HgaphatW0PDI3XIHQWZUpbhn6.jpg,2.764256135948254
33,House,"Dr. Gregory House, a drug-addicted, unconventional, misanthropic medical genius, leads a team of diagnosticians at the fictional Princeton–Plainsboro Teaching Hospital in New Jersey.","['Drama', 'Mystery']",8,177,2004-11-16,2012-05-21,['FOX'],5799,8.595,['en'],239.575,/r0Q6eeN9L1ORL9QsV0Sg8ZV3vnv.jpg,2.701239487176436
34,Cobra Kai,"This Karate Kid sequel series picks up 30 years after the events of the 1984 All Valley Karate Tournament and finds Johnny Lawrence on the hunt for redemption by reopening the infamous Cobra Kai karate dojo. This reignites his old rivalry with the successful Daniel LaRusso, who has been working to maintain the balance in his life without mentor Mr. Miyagi.","['Action', 'Drama', 'Comedy']",6,50,2018-05-02,2022-09-09,"['Netflix', 'YouTube Premium']",5734,8.22,['en'],118.256,/zymbuoBoL1i94xAOzVJF6IuWLfD.jpg,2.5544276473826013
35,Demon Slayer: Kimetsu no Yaiba,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.","['Animation', 'Action', 'Sci-Fi']",5,55,2019-04-06,2023-06-18,"['Fuji TV', 'Gunma TV', 'Tokyo MX', 'BS11', 'Tokai Television Broadcasting', 'Kansai TV', 'Tochigi TV', 'Fukui TV', 'Hokkaido Cultural Broadcasting', 'Iwate Menkoi Television', 'Television Oita System', 'Sendai Television', 'SAGA TV', 'Ishikawa TV', 'Television Nishinippon', 'OHK', 'Kochi Sun Sun Broadcasting', 'Television Shin Hiroshima System', 'TV Shizuoka', 'UMK TV Miyazaki', 'NST', 'NBS', 'Sakuranbo TV', 'TSK', 'Ehime Broadcasting', 'KTS', 'Fukushima TV', 'NIB', 'AKT', 'Toyama Television', 'TV Kumamoto', 'Okinawa Television Broadcasting']",5618,8.7,['ja'],82.89,/nTvM4mhqNlHIvUkI1gVnW6XP7GG.jpg,2.648897097139028
36,Arrow,"Spoiled billionaire playboy Oliver Queen is missing and presumed dead when his yacht is lost at sea. He returns five years later a changed man, determined to clean up the city as a hooded vigilante armed with a bow.","['Crime', 'Drama', 'Mystery', 'Action']",8,170,2012-10-10,2020-01-28,['The CW'],5569,6.793,['en'],174.419,/vNnLAKmoczRlNarxyGrrw0KSOeX.jpg,2.050231644497357
37,Attack on Titan,"Several hundred years ago, humans were nearly exterminated by Titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest Titans. Flash forward to the present and the city has not seen a Titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a Colossal Titan that appears out of thin air. As the smaller Titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single Titan and take revenge for all of mankind.","['Sci-Fi', 'Animation', 'Action']",4,87,2013-04-07,2022-04-04,"['MBS', 'NHK G', 'Tokyo MX']",5492,8.657,['ja'],55.416,/rqbCbjB19amtOtFQbb3K2lgm2zv.jpg,2.5766892524698863
38,Chernobyl,The true story of one of the worst man-made catastrophes in history: the catastrophic nuclear accident at Chernobyl. A tale of the brave men and women who sacrificed to save Europe from unimaginable disaster.,['Drama'],1,5,2019-05-06,2019-06-03,['HBO'],5376,8.649,['en'],67.445,/20eIP9o5ebArmu2HxJutaBjhLf4.jpg,2.5199345269352555
39,American Horror Story,"An anthology horror drama series centering on different characters and locations, including a house with a murderous past, an asylum, a witch coven, a freak show, a hotel, a farmhouse in Roanoke, a cult, the apocalypse and a summer camp.","['Drama', 'Mystery', 'Sci-Fi']",12,130,2011-10-05,2023-09-27,['FX'],5198,8.145,['en'],254.735,/a4doyPOabvQor0RGkWdhVENAR3G.jpg,2.2945179721689724
40,Naruto,"In another world, ninja are the ultimate power, and in the Village Hidden in the Leaves live the stealthiest ninja in the land. Twelve years earlier, the fearsome Nine-Tailed Fox terrorized the village and claimed many lives before it was subdued and its spirit sealed within the body of a baby boy. That boy, Naruto Uzumaki, has grown up to become a ninja-in-training who's more interested in pranks than in studying ninjutsu.. but Naruto is determined to become the greatest ninja ever!","['Animation', 'Action', 'Sci-Fi']",4,220,2002-10-03,2007-02-08,['TV Tokyo'],5189,8.36,['ja'],,/9fwJ5ZOF14XjxDsIPDvEvnIo9r0.jpg,2.351007681176164
41,The Witcher,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts.","['Drama', 'Action', 'Sci-Fi']",3,24,2019-12-20,2023-07-27,['Netflix'],5159,8.132,['en'],240.462,/foGkPxpw9h8zln81j63mix5B7m8.jpg,2.2736677291282223
42,Rebelde,Six teenagers with different lives and personalities attend a prominent private school with only one thing in common: their vocation and passion for music.,"['Comedy', 'Soap', 'Drama']",3,441,2004-10-04,2006-06-09,"['Univision', 'Las Estrellas']",9999,8.433,['es'],92.914,/coHgKyLRwhbMktEWr6dwSYUg2BH.jpg,2.29292738524386
43,Westworld,"A dark odyssey about the dawn of artificial consciousness and the evolution of sin. Set at the intersection of the near future and the reimagined past, it explores a world in which every human appetite, no matter how noble or depraved, can be indulged.","['Sci-Fi', 'Western']",4,36,2016-10-02,2022-08-14,['HBO'],4948,8.075,['en'],66.988,/rX5hvSRB2k4YoIvRg6Zky52rWk0.jpg,2.1653909724878484
44,The Act,"A seasonal anthology series that tells startling, stranger-than-fiction true crime stories with the first season following Gypsy Blanchard, a girl trying to escape the toxic relationship she has with her overprotective mother.","['Drama', 'Crime']",1,8,2019-03-20,2019-05-01,['Hulu'],4899,7.57,['en'],20.258,/1yhQGQH7pfKdIY2xJSYNdp8ReD6.jpg,2.009867459544089
45,Sherlock,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,"['Crime', 'Drama', 'Mystery']",4,12,2010-07-25,2017-01-15,['BBC One'],4716,8.537,['en'],71.224,/y5NFQD2yTGoPLy1KdlBcAwuecqW.jpg,2.181941877875897
46,The Seven Deadly Sins,"The “Seven Deadly Sins”—a group of evil knights who conspired to overthrow the kingdom of Britannia—were said to have been eradicated by the Holy Knights, although some claim that they still live. Ten years later, the Holy Knights have staged a Coup d'état and assassinated the king, becoming the new, tyrannical rulers of the kingdom. Elizabeth, the king's only daughter, sets out on a journey to find the “Seven Deadly Sins,” and to enlist their help in taking back the kingdom.","['Action', 'Animation', 'Sci-Fi']",4,96,2014-10-05,2021-06-23,"['tv asahi', 'MBS', 'TV Tokyo', 'TBS', 'CBC', 'TV Aichi', 'TVQ', 'TV Osaka', 'Tulip Television', 'TVh', 'SBC', 'TSC', 'BSN', 'tys', 'Nagasaki Broadcasting Company', 'HBC', 'RKK Kumamoto Broadcasting', 'i-Television', 'SBS TV', 'IBC Iwate Broadcasting', 'Broadcasting System of San-in', 'Hokuriku Broadcasting', 'Oita Broadcasting System', 'TV-U Fukushima', 'RSK', 'TV-U Yamagata', 'Tohoku Broadcasting', 'RKB', 'TV Kochi Broadcasting', 'Ryukeu Broadcasting', 'TV Yamanashi', 'RCC', 'MRT Miyazaki Broadcasting', 'ATV', 'MBC South Japan Broadcasting']",4710,8.462,['ja'],10.059,/n5Ty1KJIRNCXlDHDjcPpUgp57tr.jpg,2.160021271559704
47,Dragon Ball Super,"With Majin Boo defeated half-a-year prior, peace returns to Earth, where Son Goku (now a radish farmer) and his friends now live peaceful lives. However, a new threat appears in the form of Beerus, the God of Destruction. Considered the most terrifying being in the entire universe, Beerus is eager to fight the legendary warrior seen in a prophecy foretold decades ago known as the Super Saiyan God. The series retells the events from the two Dragon Ball Z films, Battle of Gods and Resurrection 'F' before proceeding to an original story about the exploration of alternate universes.","['Animation', 'Action', 'Sci-Fi']",1,131,2015-07-05,2018-03-25,['Fuji TV'],4646,8.208,['ja'],78.741,/yJAOi2n0VYBEXdPI1NXv5FiOcBX.jpg,2.066715293134781
48,Fear the Walking Dead,"What did the world look like as it was transforming into the horrifying apocalypse depicted in ""The Walking Dead""? This spin-off set in Los Angeles, following new characters as they face the beginning of the end of the world, will answer that question.","['Action', 'Drama']",8,113,2015-08-23,2023-06-18,['AMC'],4591,7.693,"['en', 'es']",282.366,/5s0VnyIk2nArAhVnIGVYQiElmea.jpg,1.914111026663513
49,Prison Break,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside out.","['Action', 'Crime', 'Drama']",5,88,2005-08-29,2017-05-30,['FOX'],4508,8.094,['en'],213.262,/7w165QdHmJuTHSQwEyJDBDpuDT7.jpg,1.9774759364180152
50,My Hero Academia,"In a world where eighty percent of the population has some kind of super-powered Quirk, Izuku was unlucky enough to be born completely normal. But that won't stop him from enrolling in a prestigious hero academy. Now, he'll get his first taste of brutal rivalry from other schools as he braves the cutthroat, no-holds-barred provisional license exam.","['Action', 'Animation']",7,138,2016-04-03,2023-03-25,"['Nippon TV', 'MBS', 'TBS', 'YTV']",9999,8.673,['ja'],31.82,/jsXKG9uppnPrhqFNhImllyCfLhl.jpg,2.1132931672333304
51,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",['Drama'],9,134,2011-06-23,2019-09-25,['USA Network'],4470,8.208,['en'],745.23,/or0E36KfzJYZwqXeiCfm1JgepKF.jpg,1.9884238829772864
52,Anne with an E,"A coming-of-age story about an outsider who, against all odds and numerous challenges, fights for love and acceptance and for her place in the world. The series centers on a young orphaned girl in the late 1890’s, who, after an abusive childhood spent in orphanages and the homes of strangers, is mistakenly sent to live with an elderly woman and her aging brother. Over time, 13-year-old Anne will transform their lives and eventually the small town in which they live with her unique spirit, fierce intellect and brilliant imagination.","['Drama', 'Family']",3,27,2017-03-19,2019-11-24,['CBC Television'],4383,8.696,['en'],64.727,/70YdbMELM4b8x8VXjlubymb2bQ0.jpg,2.065642220078894
53,Black Mirror,"Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone - a black mirror of our 21st Century existence.","['Sci-Fi', 'Drama', 'Mystery']",6,26,2011-12-04,2023-06-15,"['Channel 4', 'Netflix']",4382,8.306,['en'],211.893,/wZMY9X8jtSS5GXFue2lvhgaJkii.jpg,1.9725517233948904
54,How I Met Your Mother,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,['Comedy'],9,208,2005-09-19,2014-03-31,['CBS'],4376,8.158,['en'],319.144,/5BMwFwNzSidVYArn561acqtktxv.jpg,1.9347511533286232
55,Better Call Saul,"Six years before Saul Goodman meets Walter White. We meet him when the man who will become Saul Goodman is known as Jimmy McGill, a small-time lawyer searching for his destiny, and, more immediately, hustling to make ends meet. Working alongside, and, often, against Jimmy, is “fixer” Mike Ehrmantraut. The series tracks Jimmy’s transformation into Saul Goodman, the man who puts “criminal” in “criminal lawyer"".","['Crime', 'Drama']",6,63,2015-02-08,2022-08-15,['AMC'],4354,8.645,"['en', 'de', 'es']",104.469,/hPea3Qy5Gd6z4kJLUruBbwAH8Rm.jpg,2.039940602913359
56,Miraculous: Tales of Ladybug & Cat Noir,"Normal high school kids by day, protectors of Paris by night! Miraculous follows the heroic adventures of Marinette and Adrien as they transform into Ladybug and Cat Noir and set out to capture akumas, creatures responsible for turning the people of Paris into villains. But neither hero knows the other’s true identity – or that they’re classmates!","['Action', 'Animation', 'Kids']",6,129,2015-10-19,2023-05-14,['TF1'],4197,8.043,['fr'],358.394,/ogMd4e3A0uSNwZADzgC23zCByoi.jpg,1.8294524995919883
57,Dark Desire,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.","['Mystery', 'Drama']",2,33,2020-07-15,2022-02-02,['Netflix'],4181,7.3,['es'],90.553,/9CBdzw7CK2m6WpfEfqe73V8i5O0.jpg,1.654120437405822
58,Mr. Robot,"A contemporary and culturally resonant drama about a young programmer, Elliot, who suffers from a debilitating anti-social disorder and decides that he can only connect to people by hacking them. He wields his skills as a weapon to protect the people that he cares about. Elliot will find himself in the intersection between a cybersecurity firm he works for and the underworld organizations that are recruiting him to bring down corporate America.","['Crime', 'Drama']",4,45,2015-06-24,2019-12-22,['USA Network'],4119,8.242,['en'],61.986,/uJUe985oIuRiD3hmHQYskIMc2WU.jpg,1.8398757784616613
59,Dragon Ball Z,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.","['Animation', 'Sci-Fi', 'Action']",9,291,1989-04-26,1996-01-31,['Fuji TV'],4070,8.3,['ja'],178.45,/urj6noDW3OlROu34oy6BCmiQEWQ.jpg,1.830781863682284
60,The Last of Us,"Twenty years after modern civilization has been destroyed, Joel, a hardened survivor, is hired to smuggle Ellie, a 14-year-old girl, out of an oppressive quarantine zone. What starts as a small job soon becomes a brutal, heartbreaking journey, as they both must traverse the United States and depend on each other for survival.",['Drama'],1,9,2023-01-15,2023-03-12,['HBO'],4065,8.658,['en'],145.629,/uDgy6hyPd82kOHh6I95FLtLnj6p.jpg,1.9074019896530392
61,One Piece,"Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates.    Monkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way.    Luffy will do anything to get the One Piece and become King of the Pirates!","['Action', 'Comedy', 'Animation']",21,1080,1999-10-20,2023-10-01,['Fuji TV'],4052,8.725,['ja'],114.21,/a6ptrTUH1c5OdWanjyYtAkOuYD0.jpg,1.9160152977728413
62,Marvel's Daredevil,Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil.,"['Crime', 'Drama', 'Action']",3,39,2015-04-10,2018-10-19,['Netflix'],4046,8.172,['en'],53.036,/2PrYnQR8YPei5vCVRwJXnwMqMyR.jpg,1.791918842899471
63,Supergirl,"Twenty-four-year-old Kara Zor-El, who was taken in by the Danvers family when she was 13 after being sent away from Krypton, must learn to embrace her powers after previously hiding them. The Danvers teach her to be careful with her powers, until she has to reveal them during an unexpected disaster, setting her on her journey of heroism.","['Drama', 'Sci-Fi', 'Action']",6,126,2015-10-26,2021-11-09,"['CBS', 'The CW']",3974,7.334,['en'],143.229,/jgb9xICHFX8wTGQ75js4uNbttQs.jpg,1.5795481467123258
64,Malcolm in the Middle,"A gifted young teen tries to survive life with his dimwitted, dysfunctional family.","['Family', 'Comedy']",7,151,2000-01-09,2006-05-14,['FOX'],3896,8.495,['en'],188.836,/ysaA0BInz4071p3LKqAQnWKZCsK.jpg,1.793686053313933
